Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status      , LowRate X   , LowRate Y   , LowRate Z    
-0.177425325, 0.07997149  , -9.787377   , 0.00234588655, 0.00380678172, -0.000888452749, -0.0503572859, -0.215181336, 0.383915335 , -0.008494553, -0.0189935081, 1.83658671  , 0           , 3           , 11          , 0.0346410163, 0.0346410163
-0.188354433, 0.06830332  , -9.78399849 , -0.0006764909, 0.00139096193, 0.000202737589, -0.05008764 , -0.215113923, 0.384050161 , -0.008501355, -0.0189795867, 1.8365891   , 0.01        , 3           , 12          , 0.0346410163, 0
-0.194620758, 0.0724211857, -9.78446    , -0.00394644355, 0.0008612725, -0.000969969551, -0.0498854  , -0.215316162, 0.384185    , -0.008540632, -0.0189710539, 1.83657908  , 0.02        , 3           , 50          , 0           , 0
-0.180079758, 0.086744085 , -9.785968   , -0.00151824951, 0.001414988 , -0.00151938666, -0.0499528125, -0.215316162, 0.384050161 , -0.008555524, -0.0189570338, 1.83656383  , 0.03        , 3           , 11          , 0.0346410163, 0.0346410163
-0.17759423 , 0.08327389  , -9.758883   , 0.00120000949, 0.00352536235, -0.000184069882, -0.0499528125, -0.215316162, 0.384050161 , -0.008543482, -0.0189217962, 1.83656144  , 0.04        , 3           , 12          , 0.0346410163, 0
-0.187927768, 0.07182438  , -9.776275   , -0.0005273817, 0.0008342755, -0.00180790084, -0.05008764 , -0.215316162, 0.383982748 , -0.008548413, -0.01891361 , 1.83654332  , 0.05        , 3           , 50          , 0           , 0
-0.195422068, 0.07347117  , -9.797555   , -0.000537426036, 0.0005387381, -0.0008105004, -0.05008764 , -0.215181336, 0.384387225 , -0.00855363347, -0.01890829 , 1.83653522  , 0.06        , 3           , 11          , 0.0346410163, 0.0346410163
-0.193931654, 0.09726547  , -9.788683   , -0.0008199508, 0.00153185718, 0.000633213553, -0.0499528125, -0.215181336, 0.384117573 , -0.00856195 , -0.0188929159, 1.83654141  , 0.07        , 3           , 12          , 0.0346410163, 0
-0.178764254, 0.08400753  , -9.784181   , -0.00225767517, -0.0008729807, -0.00127089431, -0.0498854  , -0.215181336, 0.384117573 , -0.008584288, -0.018901756, 1.836529    , 0.08        , 3           , 50          , 0           , 0
-0.179718   , 0.07503113  , -9.787455   , -0.00225616945, -0.000165491234, -0.000258886546, -0.0498854  , -0.215181336, 0.384117573 , -0.008606801, -0.01890343 , 1.83652616  , 0.09        , 3           , 11          , 0.0346410163, 0.0346410163
-0.186196446, 0.105780542 , -9.789869   , -0.000221878872, 0.00339476625, 0.000377523218, -0.0500202253, -0.215248749, 0.384185    , -0.008253635, -0.0186639652, 1.83652329  , 0.1         , 3           , 12          , 0.0346410163, 0
-0.190408036, 0.08376017  , -9.79377651 , 0.002469991 , 0.00222483743, -5.213963E-05, -0.05022246 , -0.215113923, 0.3842524   , -0.008228921, -0.0186417215, 1.83652234  , 0.11        , 3           , 50          , 0           , 0
-0.206515878, 0.05665432  , -9.776622   , 0.00300242729, -0.0003691128, 0.0009152993, -0.05008764 , -0.215113923, 0.384185    , -0.008199069, -0.0186453387, 1.8365314   , 0.12        , 3           , 11          , 0.0346410163, 0.0346410163
-0.181948543, 0.07864346  , -9.786078   , 0.000599549268, -4.26147635E-05, -0.0008120751, -0.05008764 , -0.215181336, 0.3843198   , -0.008192922, -0.01864583 , 1.83652329  , 0.13        , 3           , 12          , 0.0346410163, 0
-0.182095557, 0.08643072  , -9.755274   , -0.0008183872, 0.000259692315, -0.0009595505, -0.05008764 , -0.215248749, 0.383915335 , -0.008200928, -0.0186433122, 1.83651376  , 0.14        , 3           , 50          , 0           , 0
-0.193350613, 0.109925613 , -9.792147   , 0.000320733961, 0.00151982333, 0.001069232 , -0.05008764 , -0.215248749, 0.383915335 , -0.008197917, -0.0186280273, 1.83652425  , 0.15        , 3           , 11          , 0.0346410163, 0.0346410163
-0.178146377, 0.105181657 , -9.782576   , 0.000152114168, -0.000771364954, 0.00103498716, -0.05008764 , -0.215248749, 0.384185    , -0.00819659 , -0.0186356548, 1.83653474  , 0.16        , 3           , 12          , 0.0346410163, 0
-0.162672833, 0.09258935  , -9.75638    , 0.0007248481, -0.000772025145, 0.000466085941, -0.05008764 , -0.215181336, 0.384185    , -0.008189428, -0.0186433345, 1.83653951  , 0.17        , 3           , 50          , 0           , 0
-0.178264961, 0.076066345 , -9.800981   , 0.00046791567, 0.0009605772, -0.0006552423, -0.05015505 , -0.21504651 , 0.3842524   , -0.008184624, -0.0186337885, 1.83653283  , 0.18        , 3           , 11          , 0.0346410163, 0.0346410163
-0.205679357, 0.09018193  , -9.791584   , -0.0006611849, 0.00197132374, -0.000218242451, -0.05015505 , -0.215181336, 0.3842524   , -0.00819119252, -0.0186140873, 1.83653092  , 0.19        , 3           , 12          , 0.0346410163, 0
-0.2058563  , 0.08991097  , -9.76629448 , -0.00094314036, 0.003510727 , -0.0006262637, -0.05015505 , -0.215181336, 0.3842524   , -0.008636163, -0.0196001958, 1.83653283  , 0.2         , 3           , 50          , 0           , 0
-0.188277572, 0.08533612  , -9.774316   , -0.0002273674, 0.004074102 , -0.0003274691, -0.0500202253, -0.215181336, 0.384050161 , -0.008638367, -0.019559484, 1.836529    , 0.21        , 3           , 11          , 0.0273432825, 0.027343234
-0.190528423, 0.0786792338, -9.782544   , 0.00173290481, 0.00203758269, 0.0007999659, -0.05022246 , -0.215181336, 0.384185    , -0.008621192, -0.0195390414, 1.83653665  , 0.22        , 3           , 12          , 0.0346698426, 0
-0.1609769  , 0.0456737429, -9.798462   , -0.0005621377, 0.000200494513, 0.000472966873, -0.050289873, -0.21504651 , 0.3842524   , -0.008626903, -0.0195369925, 1.83654141  , 0.23        , 3           , 50          , 0           , 0
-0.196914047, 0.0670347661, -9.784996   , -0.00084533717, 6.39337959E-05, 3.992068E-05, -0.0498179868, -0.215113923, 0.3842524   , -0.008635367, -0.0195363555, 1.83654189  , 0.24        , 3           , 11          , 0.0273432825, 0.027343234
-0.194669336, 0.0830300152, -9.764463   , -0.000293920719, -0.00137602119, 0.000165561782, -0.05008764 , -0.215181336, 0.384117573 , -0.008638341, -0.0195500981, 1.8365438   , 0.25        , 3           , 12          , 0.0346698426, 0
-0.167906627, 0.08488299  , -9.790394   , -0.0004263735, -0.0009383087, -0.000544444658, -0.05008764 , -0.215181336, 0.384117573 , -0.008642503, -0.0195595287, 1.83653855  , 0.26        , 3           , 50          , 0           , 0
-0.193220049, 0.0836143345, -9.777994   , 0.000287207367, -0.00122443342, -0.00140282675, -0.050289873, -0.215248749, 0.384117573 , -0.00863936 , -0.0195718911, 1.83652472  , 0.27        , 3           , 11          , 0.0273432825, 0.027343234
-0.181647167, 0.07351506  , -9.770778   , -0.00116553518, -0.00237933779, 0.00114738836, -0.05015505 , -0.215181336, 0.384185    , -0.008651242, -0.0195955839, 1.83653617  , 0.28        , 3           , 12          , 0.0346698426, 0
-0.189895749, 0.09453444  , -9.789582   , -0.0007266388, -0.00123863528, 0.00130973454, -0.05008764 , -0.21504651 , 0.3842524   , -0.008658768, -0.0196078587, 1.83654952  , 0.29        , 3           , 50          , 0           , 0
-0.2018682  , 0.102489546 , -9.806765   , 0.000571724959, 0.000919868064, -0.0006539851, -0.0498854  , -0.215248749, 0.3843198   , -0.008880987, -0.0195499156, 1.83654714  , 0.3         , 3           , 11          , 0.0207458567, 0.0207459945
-0.182161421, 0.09548089  , -9.799889   , -0.000578415638, 0.000350589748, 0.000189306273, -0.0498854  , -0.215248749, 0.3843198   , -0.008886809, -0.0195463914, 1.836549    , 0.31        , 3           , 12          , 0.0347559527, 0
-0.194147617, 0.08224526  , -9.775761   , -3.04433343E-05, -0.0008117441, 0.00132069492, -0.0500202253, -0.215248749, 0.384050161 , -0.008887374, -0.0195543915, 1.8365624   , 0.32        , 3           , 50          , 0           , 0
