Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status       
-0.5117973  , 9.769452    , 0.845503151 , -0.00125949923, -0.007158145, 0.003113418 , -1.6613313  , -0.0590406  , 1.30634761  , 20.02       , 3
-0.50182426 , 9.772521    , 0.8474136   , -0.00177911972, -0.00744535076, -8.7941E-05 , -1.66135359 , -0.0590347461, 1.306422    , 20.03       , 3
-0.5242025  , 9.762425    , 0.856198132 , -0.004038141, -0.004260762, -0.00156836235, -1.6613965  , -0.05904657 , 1.30646586  , 20.04       , 3
-0.516851   , 9.771376    , 0.8548775   , -0.00496475352, -0.00187224185, -0.0026421356, -1.66144741 , -0.0590712279, 1.30648685  , 20.05       , 3
-0.5115918  , 9.769611    , 0.8702697   , -0.003629507, -0.00333898724, -0.00303442753, -1.66148579 , -0.0590984263, 1.30652261  , 20.06       , 3
-0.5128118  , 9.732069    , 0.861980438 , -0.002430971, -0.00533449324, -0.0028932828, -1.66151345 , -0.0591224581, 1.30657887  , 20.07       , 3
-0.517220855, 9.738409    , 0.856921256 , -0.000163653021, -0.00693096546, -0.00274822535, -1.66151941 , -0.0591434762, 1.3066504   , 20.08       , 3
-0.5384113  , 9.758598    , 0.8695464   , 0.0025002684, -0.007321882, -0.00140335923, -1.66149879 , -0.0591507629, 1.30672479  , 20.09       , 3
-0.522236168, 9.731207    , 0.852856457 , 0.000507724239, -0.005360014, -0.000328011636, -1.661407   , -0.05896408 , 1.30774045  , 20.1        , 3
-0.50581336 , 9.741867    , 0.8516434   , -0.001360475, -0.006294734, -0.000867781637, -1.66142428 , -0.05896707 , 1.30780387  , 20.11       , 3
-0.532475054, 9.725289    , 0.82935077  , -0.0021570453, -0.008434402, -0.00246789725, -1.661451   , -0.0589839332, 1.30789018  , 20.12       , 3
-0.5198443  , 9.741561    , 0.85100925  , -0.0048168283, -0.00631612 , -0.00421512732, -1.66150308 , -0.0590202063, 1.30795693  , 20.13       , 3
