Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status      , LowRate X   , LowRate Y   , LowRate Z    
-0.134939015, 0.0853878558, -9.79427052 , -0.00151702249, -2.92656987E-05, 0.000376439944, -0.1423082  , -0.170486718, 0.4251045   , -0.008594118, -0.0141290622, 2.29752278  , 0           , 3           , 11          , 0.0346410163, 0.0346410163
-0.126715854, 0.0581981353, -9.78844452 , -0.0016711452, 0.00236307736, -0.00145702343, -0.14217338 , -0.1704193  , 0.4251045   , -0.00861062 , -0.0141055565, 2.297508    , 0.01        , 3           , 12          , 0.0346410163, 0
-0.14882046 , 0.06075669  , -9.801258   , -0.00110773 , 0.00278924778, -0.000323588873, -0.14217338 , -0.170217067, 0.425239325 , -0.008621647, -0.0140776942, 2.29750466  , 0.02        , 3           , 50          , 0           , 0
-0.132732242, 0.07861971  , -9.801966   , -0.001379865, 0.0006755993, -0.00061069784, -0.142240793, -0.1703519  , 0.4251045   , -0.00863536 , -0.0140709961, 2.297498    , 0.03        , 3           , 11          , 0.0346410163, 0.0346410163
-0.174297079, 0.08677076  , -9.799989   , 0.000593311444, 0.00139288034, -0.00116546941, -0.142240793, -0.1703519  , 0.4251045   , -0.00862926 , -0.0140571641, 2.29748654  , 0.04        , 3           , 12          , 0.0346410163, 0
-0.147311538, 0.07023608  , -9.807535   , 0.00143550523, 0.00252487278, -0.000312170421, -0.1423082  , -0.170554131, 0.4251719   , -0.008614859, -0.0140319439, 2.29748273  , 0.05        , 3           , 50          , 0           , 0
-0.112063572, 0.07199709  , -9.783304   , 2.30004516E-05, 0.00265610684, 0.000246536743, -0.1423082  , -0.17028448 , 0.42537415  , -0.008614659, -0.014005363, 2.29748559  , 0.06        , 3           , 11          , 0.0346410163, 0.0346410163
-0.145991355, 0.106715783 , -9.791554   , -0.00124484312, 0.00194359769, -0.000466817961, -0.141971141, -0.1703519  , 0.4251719   , -0.008627042, -0.0139859673, 2.29748082  , 0.07        , 3           , 12          , 0.0346410163, 0
-0.148470521, 0.123008773 , -9.797382   , 0.000174305489, 0.0004045363, -0.00159276975, -0.141971141, -0.1703519  , 0.4251719   , -0.008625076, -0.01398206 , 2.29746461  , 0.08        , 3           , 50          , 0           , 0
-0.141601563, 0.09896281  , -9.782515   , 0.002014714 , -0.0005685279, -0.00200953451, -0.142240793, -0.170554131, 0.4251045   , -0.00860464852, -0.0139879193, 2.29744458  , 0.09        , 3           , 11          , 0.0346410163, 0.0346410163
