Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status      , LowRate X   , LowRate Y   , LowRate Z    
-0.139351934, 0.06462983  , -9.77857    , -0.00112705608, -0.00332175335, -0.000600941246, -0.143184572, -0.167520568, 0.429351479 , -0.008340357, -0.0138585726, 2.30890775  , 0           , 3           , 11          , 0.0346410163, 0.0346410163
-0.14021723 , 0.06869024  , -9.775396   , -0.0009987149, -0.000786714139, -0.00116145227, -0.1427801  , -0.167520568, 0.4294863   , -0.008350185, -0.0138665354, 2.3088963   , 0.01        , 3           , 12          , 0.0346410163, 0
-0.109260708, 0.07248135  , -9.802715   , -0.00114353932, 5.70288539E-05, -0.000171927764, -0.142982334, -0.167318329, 0.429553717 , -0.008361597, -0.01386598 , 2.30889487  , 0.02        , 3           , 50          , 0           , 0
-0.1114191  , 0.0841985643, -9.790932   , -0.00198446517, -0.00121574337, -3.65625274E-05, -0.1427801  , -0.167520568, 0.429553717 , -0.00838143751, -0.0138781406, 2.3088944   , 0.03        , 3           , 11          , 0.0346410163, 0.0346410163
-0.119526967, 0.08343579  , -9.804105   , -0.0009997011, -0.000505147036, -0.000454674562, -0.1427801  , -0.167520568, 0.429553717 , -0.008391372, -0.01388323 , 2.30889     , 0.04        , 3           , 12          , 0.0346410163, 0
-0.10609968 , 0.0786861852, -9.780518   , -0.000576921, -0.000361500279, -0.0007350196, -0.143184572, -0.167385742, 0.429553717 , -0.008397039, -0.0138869071, 2.308883    , 0.05        , 3           , 50          , 0           , 0
-0.126688182, 0.100549676 , -9.769737   , -0.00213117315, -9.043772E-05, 0.000105783562, -0.14311716 , -0.167520568, 0.429688543 , -0.008418364, -0.0138878021, 2.308884    , 0.06        , 3           , 11          , 0.0346410163, 0.0346410163
-0.145906389, 0.08320223  , -9.777187   , -0.00256084162, 0.0011737413, 0.0005295669, -0.1427801  , -0.167453155, 0.429553717 , -0.008444046, -0.0138760209, 2.30888867  , 0.07        , 3           , 12          , 0.0346410163, 0
-0.1248727  , 0.06623712  , -9.770318   , -0.000440015632, 0.0006249351, 0.0002560386, -0.1427801  , -0.167453155, 0.429553717 , -0.008448481, -0.0138697466, 2.30889153  , 0.08        , 3           , 50          , 0           , 0
-0.139618918, 0.06880285  , -9.810646   , -0.000157670278, 0.0006268447, 0.000116086907, -0.142914921, -0.167385742, 0.429553717 , -0.008450072, -0.01386347 , 2.30889249  , 0.09        , 3           , 11          , 0.0346410163, 0.0346410163
-0.122636691, 0.0937874839, -9.785553   , -0.000860904867, -8.18460248E-05, -0.00101844047, -0.143049747, -0.167250916, 0.42962113  , -0.008458542, -0.0138643747, 2.308882    , 0.1         , 3           , 12          , 0.0346410163, 0
-0.135726869, 0.0984380245, -9.781115   , 0.00041809064, -0.001621857, -0.000308557268, -0.142712682, -0.167453155, 0.429553717 , -0.00845432 , -0.01388062 , 2.30887914  , 0.11        , 3           , 50          , 0           , 0
