Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status      , LowRate X   , LowRate Y   , LowRate Z    
-0.144452587, -0.00522660837, -9.80955    , -0.00172783609, 0.000882577151, 0.0018601492, 0.07631118  , -0.347916961, 0.645544    , 0.00144143449, -0.0164959989, 1.38479114  , 0           , 3           , 11          , 0.0346410163, 0.0346410163
-0.159004778, -0.03204578 , -9.832034   , -0.0008509274, -0.0009070131, 0.0005182569, 0.07631118  , -0.347984374, 0.6456114   , 0.00143284036, -0.0165050738, 1.38479638  , 0.01        , 3           , 12          , 0.0346410163, 0
-0.185537532, -0.0150216836, -9.806128   , -5.32222839E-05, -3.50267328E-05, 0.00032435474, 0.07631118  , -0.347849548, 0.645746231 , 0.00143225421, -0.0165054277, 1.38479972  , 0.02        , 3           , 50          , 0           , 0
-0.17472811 , -0.0176907089, -9.815635   , 0.002275585 , 0.00204748753, -0.000327093818, 0.0762437657, -0.347916961, 0.645746231 , 0.00145506382, -0.01648495 , 1.38479638  , 0.03        , 3           , 11          , 0.0346410163, 0.0346410163
-0.165333837, -0.0435843877, -9.795943   , 0.0004116061, 0.000569014752, -4.8641E-06 , 0.0762437657, -0.347916961, 0.645746231 , 0.00145918084, -0.0164792575, 1.38479638  , 0.04        , 3           , 12          , 0.0346410163, 0
-0.155785188, -0.02146616 , -9.803399   , 0.0009474947, 0.000304410234, 0.000194433946, 0.07658083  , -0.347849548, 0.6456788   , 0.00146862457, -0.0164762177, 1.38479829  , 0.05        , 3           , 50          , 0           , 0
-0.165227175, -0.0142682111, -9.797014   , -0.00218689279, -0.0009839003, 0.00118242006, 0.07651342  , -0.347714722, 0.6456114   , 0.00144656154, -0.0164860711, 1.38480973  , 0.06        , 3           , 11          , 0.0346410163, 0.0346410163
-0.153482422, -0.0130719934, -9.782938   , -0.00139160745, 0.000358510617, 0.000124577971, 0.07631118  , -0.347782135, 0.6456114   , 0.00143262441, -0.01648249 , 1.38481116  , 0.07        , 3           , 12          , 0.0346410163, 0
-0.150727436, 0.00233046338, -9.793194   , 0.0012776514, 0.00117009459, 0.000866367 , 0.07631118  , -0.347782135, 0.6456114   , 0.0014452585, -0.0164708  , 1.38481975  , 0.08        , 3           , 50          , 0           , 0
-0.138126791, -0.005824566, -9.794147   , -0.00166202651, 0.00102317287, 0.000261213136, 0.07651342  , -0.347984374, 0.645409167 , 0.001428595 , -0.0164605733, 1.38482261  , 0.09        , 3           , 11          , 0.0346410163, 0.0346410163
-0.128265247, -0.0178453941, -9.817783   , -0.0016619321, 0.0009605198, -0.000672367634, 0.0764460042, -0.347782135, 0.645544    , 0.00141208677, -0.0164509565, 1.38481545  , 0.1         , 3           , 12          , 0.0346410163, 0
-0.1565645  , 0.0104930345, -9.796297   , 0.000549077 , -0.00023087133, 0.000124180966, 0.0762437657, -0.347849548, 0.645813644 , 0.00141755783, -0.016453268, 1.38481688  , 0.11        , 3           , 50          , 0           , 0
-0.1719176  , 0.004623605 , -9.788244   , 0.000143670026, 0.000762104464, 0.001262341 , 0.0764460042, -0.347849548, 0.6456788   , 0.00141878624, -0.0164456628, 1.38482976  , 0.12        , 3           , 11          , 0.0346410163, 0.0346410163
-0.165698081, -0.0145283323, -9.820561   , 1.68887491E-05, -0.000764591852, -0.000479536742, 0.0764460042, -0.347849548, 0.6456788   , 0.00141903455, -0.0164533034, 1.384825    , 0.13        , 3           , 12          , 0.0346410163, 0
-0.16930294 , -0.017365437, -9.802488   , -0.00191979506, -0.00103991863, -0.0009505904, 0.07637859  , -0.347782135, 0.6456114   , 0.00139999262, -0.0164636876, 1.38481545  , 0.14        , 3           , 50          , 0           , 0
-0.175572485, -0.00658696657, -9.794249   , -0.0007890394, 9.685621E-05, -0.000275941682, 0.0764460042, -0.347782135, 0.6456788   , 0.00139214762, -0.0164627135, 1.38481259  , 0.15        , 3           , 11          , 0.0346410163, 0.0346410163
-0.166991472, -0.005317202, -9.787877   , 0.00221627438, 0.000448461622, -0.000669432164, 0.07637859  , -0.347782135, 0.6456114   , 0.00141441985, -0.01645822 , 1.38480592  , 0.16        , 3           , 12          , 0.0346410163, 0
-0.152207181, -0.0277115088, -9.813412   , -0.0007774323, -0.00236823247, -0.00068968127, 0.07637859  , -0.347782135, 0.6456114   , 0.00140676019, -0.0164818931, 1.38479877  , 0.17        , 3           , 50          , 0           , 0
-0.1508575  , -0.028614616, -9.81387    , -0.00124619808, -0.00210871315, 0.0003776182, 0.07637859  , -0.347714722, 0.645544    , 0.00139423669, -0.0165029857, 1.38480258  , 0.18        , 3           , 11          , 0.0346410163, 0.0346410163
-0.149403036, -0.00673520332, -9.787847   , 0.002623011 , -0.000690481742, 0.00112459925, 0.07637859  , -0.347714722, 0.645746231 , 0.00142028171, -0.0165099055, 1.38481355  , 0.19        , 3           , 12          , 0.0346410163, 0
-0.127279162, -0.000465543941, -9.792709   , 0.00161585666, 0.000244571915, -0.0005381542, 0.0764460042, -0.347849548, 0.645544    , 0.00143652118, -0.0165073872, 1.38480878  , 0.2         , 3           , 50          , 0           , 0
-0.163416073, -0.0143439909, -9.788408   , 0.001679832 , 0.000844974362, -0.00053469697, 0.0764460042, -0.347849548, 0.645544    , 0.00145340746, -0.01649893 , 1.384803    , 0.21        , 3           , 11          , 0.0346699134, 0.03466991
-0.172066778, -0.0340804532, -9.797226   , 0.00114267832, 0.00137626089, -0.0007325037, 0.07617635  , -0.3480518  , 0.6454766   , 0.00146495446, -0.0164851565, 1.3847959   , 0.22        , 3           , 12          , 0.0346688069, 0
-0.163983718, -0.0430876762, -9.802273   , -0.000523127965, 0.000306087459, -0.00207417249, 0.07651342  , -0.347916961, 0.6456114   , 0.001460064 , -0.016482072, 1.3847754   , 0.23        , 3           , 50          , 0           , 0
-0.162532076, -0.0174342338, -9.797038   , -0.0005840196, -0.0008986546, -0.00108112011, 0.07651342  , -0.347849548, 0.6456788   , 0.00145440269, -0.0164910387, 1.384764    , 0.24        , 3           , 11          , 0.0346699134, 0.03466991
-0.157095432, -0.011611497, -9.794704   , -0.00124502834, -0.00237367162, -2.38196062E-05, 0.07651342  , -0.347849548, 0.6456788   , 0.00144195743, -0.0165147744, 1.384764    , 0.25        , 3           , 12          , 0.0346688069, 0
-0.1503631  , -0.021577185, -9.79206848 , -0.0009165637, -0.00117262569, 0.000183373981, 0.07658083  , -0.347984374, 0.645274341 , 0.0014327605, -0.0165265035, 1.38476586  , 0.26        , 3           , 50          , 0           , 0
-0.161500216, 0.0158526227, -9.787656   , 8.413751E-05, -0.0008329019, -1.32044988E-05, 0.07617635  , -0.347782135, 0.645746231 , 0.00143360486, -0.0165348314, 1.38476586  , 0.27        , 3           , 11          , 0.0346699134, 0.03466991
-0.15894    , -0.0224215575, -9.795267   , 0.0019555015, -0.000889860443, 0.000122594938, 0.07658083  , -0.347782135, 0.6454766   , 0.00145313947, -0.016543733, 1.38476682  , 0.28        , 3           , 12          , 0.0346688069, 0
-0.1634712  , -0.0287493952, -9.791266   , 0.000284113426, -0.0007010414, 0.0005877662, 0.07658083  , -0.347782135, 0.6454766   , 0.00145588373, -0.01655075 , 1.38477254  , 0.29        , 3           , 50          , 0           , 0
-0.154434726, -0.0247180387, -9.79210949 , -0.00184380263, -0.000834510138, 0.0005169179, 0.07651342  , -0.347916961, 0.645341754 , 0.00163866545, -0.01632551 , 1.38477445  , 0.3         , 3           , 11          , 0.0347534046, 0.0347534046
-0.150785148, -0.0167288575, -9.77798748 , -0.001315758, 0.0005055705, -0.000341359322, 0.07631118  , -0.347782135, 0.645544    , 0.00162556372, -0.01632045 , 1.38477111  , 0.31        , 3           , 12          , 0.0347538665, 0
-0.159327537, -0.004825808, -9.796454   , -0.0015806742, -2.63936854E-05, -0.00101132656, 0.07664824  , -0.347916961, 0.645544    , 0.00160992239, -0.0163206942, 1.3847611   , 0.32        , 3           , 50          , 0           , 0
-0.14582625 , -0.0120315943, -9.803734   , 2.68812983E-05, -0.000757266651, 0.0004534899, 0.07664824  , -0.347916961, 0.645544    , 0.00161011762, -0.0163282752, 1.38476539  , 0.33        , 3           , 11          , 0.0347534046, 0.0347534046
-0.162567154, -0.0236225333, -9.812492   , 0.00283131818, -0.000277439627, 0.0009936462, 0.0764460042, -0.347984374, 0.645341754 , 0.00163827033, -0.0163310673, 1.3847754   , 0.34        , 3           , 12          , 0.0347538665, 0
-0.164811015, -0.0246721637, -9.793041   , 0.00136393809, -0.000882973836, 0.000388127373, 0.07651342  , -0.347849548, 0.6456114   , 0.00165184587, -0.0163399018, 1.38477921  , 0.35        , 3           , 50          , 0           , 0
-0.148973048, -0.0111981258, -9.793775   , 0.000829535944, -0.0009500004, -0.000212980653, 0.07658083  , -0.3480518  , 0.645544    , 0.00166017655, -0.0163494  , 1.38477683  , 0.36        , 3           , 11          , 0.0347534046, 0.0347534046
-0.154386058, -0.0111816172, -9.793335   , 0.00109775725, -0.00108732469, 0.0010531774, 0.07651342  , -0.347782135, 0.645274341 , 0.00167098234, -0.0163602885, 1.3847878   , 0.37        , 3           , 12          , 0.0347538665, 0
-0.150834471, -0.0251096  , -9.801158   , 0.00176322542, -0.000546269061, 0.000123972888, 0.07651342  , -0.347782135, 0.645274341 , 0.0016885933, -0.0163657516, 1.38478875  , 0.38        , 3           , 50          , 0           , 0
-0.178295285, -0.0134305432, -9.783004   , 0.0005587534, -0.000156875467, 0.00105758035, 0.07651342  , -0.347849548, 0.6456114   , 0.00169400836, -0.0163673386, 1.38479924  , 0.39        , 3           , 11          , 0.0347534046, 0.0347534046
-0.184177816, -0.0136887077, -9.8043     , -0.00211582659, 0.0003054919, 0.000122876023, 0.07664824  , -0.347849548, 0.645813644 , 0.00167959474, -0.0163059086, 1.38480067  , 0.4         , 3           , 12          , 0.0348953381, 0
-0.13235113 , -0.02832709 , -9.80205    , -0.00104139256, -0.0007593771, 0.001051751 , 0.0764460042, -0.347849548, 0.6454766   , 0.00166900957, -0.01631352 , 1.38481116  , 0.41        , 3           , 50          , 0           , 0
-0.136801556, -0.0120906029, -9.800543   , 0.001759407 , 0.00045669594, 0.0009294314, 0.0764460042, -0.347849548, 0.6454766   , 0.00168645219, -0.016308967, 1.38482022  , 0.42        , 3           , 11          , 0.0176957753, 0.0176957231
-0.141324356, -0.0185056962, -9.785677   , -0.00130872848, -0.000820916553, -0.0004821562, 0.07617635  , -0.3476473  , 0.645544    , 0.00167344371, -0.01631717 , 1.38481545  , 0.43        , 3           , 12          , 0.0348953381, 0
-0.172065362, -0.0359674729, -9.786831   , -0.00277952384, -0.0006332912, 0.000516582339, 0.0759741142, -0.347714722, 0.6456788   , 0.00164556422, -0.01632351 , 1.3848207   , 0.44        , 3           , 50          , 0           , 0
-0.164778918, -0.0156442523, -9.794311   , -0.0008440262, -0.0001536483, -1.11103191E-05, 0.07637859  , -0.347782135, 0.645544    , 0.00163712644, -0.0163250435, 1.3848207   , 0.45        , 3           , 11          , 0.0176957753, 0.0176957231
-0.1516122  , 0.009641945 , -9.804895   , -0.00158311671, 0.0007078803, 0.000259244436, 0.07637859  , -0.347782135, 0.645544    , 0.00162125367, -0.0163179729, 1.38482308  , 0.46        , 3           , 12          , 0.0348953381, 0
-0.13989827 , 0.00226473436, -9.789997   , 0.000553969934, 0.0009854569, 0.000463973643, 0.07664824  , -0.347849548, 0.645544    , 0.00162671634, -0.0163081232, 1.38482785  , 0.47        , 3           , 50          , 0           , 0
-0.140901074, -0.0224305131, -9.802465   , 0.0022281725, 0.000197176661, -0.000137868119, 0.0764460042, -0.347849548, 0.6456788   , 0.00164902012, -0.0163061488, 1.38482642  , 0.48        , 3           , 11          , 0.0176957753, 0.0176957231
